UTC Date & Time,Instructed Speed
2021-09-09,11
2021-09-10,11
2021-09-11,11
2021-09-11,11
2021-10-09,11
2021-10-10,11
2021-10-11,11
2021-10-12,11
2021-10-13,11
2021-10-14,11
2021-10-15,11
2021-10-16,11
2021-10-17,11
2021-10-18,11
2021-10-19,11
2021-10-20,11
2021-10-21,11
2021-10-22,11
2021-10-23,11
2021-11-19,11
2021-11-20,11
2021-11-21,11
2021-11-22,11
2021-11-23,11
2021-11-24,11
2021-11-25,11
2021-11-25,11
2021-12-09,11
2021-12-10,11
2021-12-11,11
2021-12-12,11
2021-12-13,11
2021-12-14,11
2021-12-15,11
2021-12-16,11
2021-12-17,11
2021-12-18,11
2021-12-19,11
2021-12-20,11
2021-12-21,11
2021-12-21,11
2022-01-03,11
2022-01-04,11
2022-01-05,11
2022-01-06,11
2022-01-07,11
2022-01-08,11
2022-01-09,11
2022-01-09,11
2022-01-27,11
2022-01-28,11
2022-01-29,11
2022-01-30,11
2022-01-31,11
2022-02-01,11
2022-02-01,11
2022-02-03,11
2022-02-04,11
2022-02-04,11
2022-02-20,11
2022-02-21,11
2022-02-22,11
2022-02-23,11
2022-02-24,11
2022-02-25,11
2022-02-26,11
2022-02-27,11
2022-03-14,11
2022-03-15,11
2022-03-16,11
2022-03-17,11
2022-03-18,11
2022-03-19,11
2022-03-20,11
2022-03-21,11
2022-04-06,11
2022-04-07,11
2022-04-08,11
2022-04-09,11
2022-04-10,11
2022-04-11,11
2022-04-12,11
2022-04-13,11
2022-04-13,11
2022-04-25,11
2022-04-26,11
2022-04-27,11
2022-04-28,11
2022-04-29,11
2022-04-30,11
2022-05-01,11
2022-05-02,11
2022-05-03,11
2022-05-04,11
2022-05-05,11
2022-05-06,11
2022-05-07,11
2022-05-07,11
2022-05-23,11
2022-05-24,11
2022-05-25,11
2022-05-26,11
2022-05-27,11
2022-05-28,11
2022-05-29,11
2022-05-30,11
2022-06-08,11
2022-06-09,11
2022-06-10,11
2022-06-11,11
2022-06-12,11
2022-06-13,11
2022-06-14,11
2022-06-15,11
2022-06-16,11
2022-06-17,11
2022-06-18,11
2022-06-19,11
2022-06-20,11
2022-06-21,11
2022-06-27,11
2022-07-08,11
2022-07-09,11
2022-07-10,11
2022-07-11,11
2022-07-12,11
2022-07-13,11
2022-07-14,11
2022-07-15,11
2022-07-16,11
2022-07-16,11
